id,frame,label,x_est,y_est,vx_est,vy_est
0,1,ped,3.6875992907840027,9.475663627513732,1.5894796043648756,-0.024635988067888175
1,1,ped,3.7586268274546275,10.182362036917938,1.4645694636060234,0.2116784006202599
2,1,ped,3.9710618477110513,10.67665208360659,1.2354922192114421,-0.024842579162725482
3,1,ped,5.240935005017621,12.970818361012071,1.6629808423501773,-0.09412806761758453
4,1,ped,6.54641617449086,12.229785038968751,1.4204041610976599,0.10275324582995952
5,1,ped,6.54649964759863,11.453021995582274,1.2263247393748955,0.10778890376835444
6,1,ped,7.535544497698558,10.11124510324157,1.180074158002318,-0.050253283836402624
7,1,ped,7.252607821350468,9.476797784707061,1.3245329811168585,0.07290083261574705
8,1,ped,7.394188982854049,8.452833710213623,-1.283602120438173,-0.007269424152073938
9,1,ped,7.710513286702091,8.099849094504817,-1.4114690962429437,0.0377674345379192
10,1,ped,10.535068767958293,12.193763431016484,1.3966590971266675,0.1804831452891364
11,1,ped,11.49024561628645,10.64079957601458,1.0619815233754497,0.0072048644349532506
12,1,ped,11.276521071149004,9.96981904015759,1.2473195593949666,0.026676075130034786
13,1,ped,11.064107323071658,9.441380414347817,1.1157468558252792,-0.0976401162309261
14,1,ped,15.01789993112529,11.84140567142023,1.0280231121499084,0.005500487901927911
15,1,ped,17.09900083167663,10.535174321049409,1.490580573649287,0.04273853275915083
16,1,ped,16.817233317373514,9.899887963147757,1.4795795978455164,-0.05614113004139538
17,1,ped,18.582757402293495,9.865352715049994,1.3221313596386188,0.2431835425937245
18,1,ped,19.711531387976844,10.570711246440426,1.3143841935796219,0.3365885413791229
19,1,ped,19.711350439820645,11.17027649957779,1.2374290107261061,0.13952646072356426
20,1,ped,19.78209686060574,12.405583712224384,1.077372559946153,-0.011878987957191212
21,1,ped,19.993547705994736,13.25280452100393,1.459979267716023,-0.028587042757982614
22,1,ped,22.00602294123454,13.852411779963264,1.4276477613629537,0.013273477847875411
23,1,ped,22.21719159366565,11.6289294531461,1.1812878806849236,-0.0711706321958564
24,1,ped,22.464280609247343,11.20594698194124,1.2902130354752241,0.20529990056499658
0,2,ped,3.753893902243999,9.474636100483874,1.5894796043648756,-0.024635988067888175
1,2,ped,3.819711639917341,10.191190799039237,1.4645694636060234,0.2116784006202599
2,2,ped,4.022592220551035,10.675615939997869,1.2354922192114421,-0.024842579162725482
3,2,ped,5.310295233677539,12.966892432265926,1.6629808423501773,-0.09412806761758453
4,2,ped,6.605658923952724,12.23407070988258,1.4204041610976599,0.10275324582995952
5,2,ped,6.597647659751403,11.45751769560598,1.2263247393748955,0.10778890376835444
6,2,ped,7.584763473257547,10.109149120432244,1.180074158002318,-0.050253283836402624
7,2,ped,7.307851939682002,9.479838359974652,1.3245329811168585,0.07290083261574705
8,2,ped,7.340652024210481,8.452530514344751,-1.283602120438173,-0.007269424152073938
9,2,ped,7.651643204276209,8.101424312828888,-1.4114690962429437,0.0377674345379192
10,2,ped,10.593321149386666,12.20129108972891,1.3966590971266675,0.1804831452891364
11,2,ped,11.534539139950757,10.641100079202557,1.0619815233754497,0.0072048644349532506
12,2,ped,11.328544743129108,9.970931655903755,1.2473195593949666,0.026676075130034786
13,2,ped,11.110643311386026,9.437308003760942,1.1157468558252792,-0.0976401162309261
14,2,ped,15.060777104638383,11.841635087832556,1.0280231121499084,0.005500487901927911
15,2,ped,17.16117052527228,10.53695687580246,1.490580573649287,0.04273853275915083
16,2,ped,16.878944178144515,9.897546407840725,1.4795795978455164,-0.05614113004139538
17,2,ped,18.637901352895707,9.875495505448464,1.3221313596386188,0.2431835425937245
18,2,ped,19.766352216871557,10.584749807559009,1.3143841935796219,0.3365885413791229
19,2,ped,19.7629615930875,11.17609592152989,1.2374290107261061,0.13952646072356426
20,2,ped,19.82703231939562,12.40508825893955,1.077372559946153,-0.011878987957191212
21,2,ped,20.054441068845755,13.251612201903246,1.459979267716023,-0.028587042757982614
22,2,ped,22.065567809492922,13.85296539515545,1.4276477613629537,0.013273477847875411
23,2,ped,22.26646119162548,11.62596104172652,1.1812878806849236,-0.0711706321958564
24,2,ped,22.518093298414644,11.21450970719003,1.2902130354752241,0.20529990056499658
0,3,ped,3.817635588584857,9.474259895580499,1.5868636241514416,-0.023968578834974746
1,3,ped,3.8714091252226575,10.207646694471395,1.4549502773961789,0.21949391768217846
2,3,ped,4.082782573504765,10.675539138437864,1.24436609351996,-0.02385954217564377
3,3,ped,5.3746212967356275,12.963526539742034,1.6578223371097347,-0.09355419897363532
4,3,ped,6.650283607941352,12.238939938539996,1.405425041753348,0.10335121695695242
5,3,ped,6.655994657523123,11.46369070411533,1.2337015338585167,0.10950764035697552
6,3,ped,7.640426225589774,10.11057688553333,1.186677090619576,-0.046642502328686775
7,3,ped,7.35309997148255,9.484798739412122,1.314289999691043,0.07486805432719655
8,3,ped,7.291230211728025,8.452329245068329,-1.2793853336424483,-0.007164980058875862
9,3,ped,7.593825709930052,8.10388550845656,-1.4103905101266434,0.03867529473264239
10,3,ped,10.642522785427214,12.218375766574077,1.387384805971835,0.19027621369809716
11,3,ped,11.587817884764885,10.64060645102738,1.0711886718989394,0.0063911186978354234
12,3,ped,11.389888537919937,9.973055697067306,1.256869881367537,0.02771248190100256
13,3,ped,11.164795792323028,9.429281737444963,1.123551469382963,-0.10169162885719372
14,3,ped,15.112169068874604,11.8434606074783,1.036748211012483,0.007136013537177492
15,3,ped,17.21094941745059,10.540175923465588,1.4778837299019532,0.04421050583087545
16,3,ped,16.93070431531853,9.892012086030634,1.4693830997798583,-0.05941275518053569
