id,frame,label,x_est,y_est,psi_est,vel_est
0,10,veh,13.71204567332073,4.63239032040729,1.598730880136929,2.1165982067808087
0,11,veh,13.722191983574731,4.731857591238956,1.5979459350088303,2.116911369491172
0,12,veh,13.727067198953973,4.815173259438764,1.5969936737718413,2.1165707039345594
0,13,veh,13.728161217339892,4.906181021035009,1.5963781476410002,2.116815879887452
0,14,veh,13.724189351976614,4.995360225676813,1.5967178012177898,2.116920995980955
0,15,veh,13.711626568789987,5.083944681217061,1.598933252971334,2.1169927140146303
0,16,veh,13.708725887044094,5.167508878590112,1.5990564529522344,2.116368659662113
0,17,veh,13.698797662457546,5.2550101059683065,1.6008051385906379,2.1162931716419324
0,18,veh,13.691661572507922,5.350737444345721,1.6018377300049276,2.1174600782312862
0,19,veh,13.69360713537335,5.436467500507938,1.6006918572110358,2.1170244172449553
0,20,veh,13.689591714891778,5.519219320354341,1.6010846504043668,2.1160877443153248
0,21,veh,13.685662838709133,5.60856466536738,1.601403146841083,2.116297890113133
0,22,veh,13.686222597969966,5.703237200274308,1.600482910490638,2.1174985498268843
0,23,veh,13.678751927518869,5.79623723609444,1.6017612799044356,2.1184613298414625
0,24,veh,13.674882632230505,5.892516537613962,1.6020076127239724,2.1201115615860586
0,25,veh,13.670894990634917,5.97991426491716,1.6023620574840804,2.1199081549578347
0,26,veh,13.664053426219612,6.066856657483356,1.6035341536513692,2.1196174315312075
0,27,veh,13.661800876176708,6.1589768619918726,1.6033128299565567,2.1204810956610087
0,28,veh,13.656461311474956,6.256450387066074,1.6039521483838985,2.1226672960653525
0,29,veh,13.655012773911551,6.343858352732368,1.6035189297466133,2.1223900434494682
0,30,veh,13.650382679951084,6.424385707988152,1.6041217337018723,2.1203864526178573
0,31,veh,13.649643820524053,6.522317220033788,1.6033506571650578,2.122860968658788
0,32,veh,13.646368553737064,6.610703357378714,1.6034732706097068,2.122835424672063
0,33,veh,13.649810575801297,6.703634669498001,1.601451420356932,2.124001320866068
0,34,veh,13.653410313918782,6.807410884675342,1.59931077199774,2.128246124805706
0,35,veh,13.64876641284589,6.906247780299408,1.5998871165877804,2.1311867321281603
0,36,veh,13.644158730832675,6.989519050238633,1.6005889815609329,2.129554624164711
0,37,veh,13.646609468303618,7.077585332050826,1.598947445790103,2.1292931860754107
0,38,veh,13.638856912286112,7.167820193890493,1.6006443724835513,2.129790052306453
0,39,veh,13.632073796033188,7.255021075041246,1.6020141218181285,2.1293286469394053
0,40,veh,13.634806387393029,7.353005075314918,1.6001066397093249,2.1322255384372797
0,41,veh,13.637627908758589,7.448159128090781,1.5982438318349512,2.134212885468815
0,42,veh,13.63145074177998,7.538491185659968,1.599477447266963,2.134695876584799
0,43,veh,13.632621434509366,7.630614869872601,1.5981979121792196,2.1357127710450023
0,44,veh,13.632593606474282,7.712518125781486,1.5974515619286143,2.1332472543764847
0,45,veh,13.623734988316928,7.802174036442147,1.5996407288946854,2.133556124954082
0,46,veh,13.627980383149657,7.892690454130203,1.5973114432396376,2.1340400970553572
0,47,veh,13.614684698315509,7.982070617876378,1.6010371386514912,2.134290548646168
0,48,veh,13.612562676904135,8.068531136953872,1.600867169122525,2.1333748315196406
0,49,veh,13.61585821601348,8.164298455187367,1.5987484292160212,2.135809200909348
0,50,veh,13.609488505504396,8.261981247431384,1.5999996230679026,2.139049068394184
0,51,veh,13.606081902527452,8.35561068665462,1.6002321611672325,2.1407251406611305
0,52,veh,13.61240075646243,8.443464957172889,1.5971427574884653,2.1400985034598556
0,53,veh,13.609019681136287,8.5400116083196,1.5974306320973304,2.142909426520125
0,54,veh,13.606266693795886,8.638869284721748,1.5974709080963738,2.146589556548233
0,55,veh,13.610382138200125,8.730777079293134,1.5951727853244053,2.147461350152992
0,56,veh,13.603318703950238,8.824333922466238,1.5968488371372778,2.149091790227372
0,57,veh,13.606782956339178,8.913504084669523,1.594813944086477,2.148859756868768
0,58,veh,13.60189329889482,9.00315063363137,1.5957775231509748,2.1489057445302215
0,59,veh,13.595920616232918,9.099762579534802,1.5970328152185433,2.1517750718200683
0,60,veh,13.59510229355178,9.189942034501769,1.5964858279042222,2.1519475627313747
0,61,veh,13.595426300423373,9.287893109937434,1.5954805385745796,2.1552922392829736
0,62,veh,13.583175172859358,9.377997241265476,1.5990356415375306,2.1554944428884495
0,63,veh,13.577701837415876,9.462582943524383,1.6001280511009985,2.1533324039644155
0,64,veh,13.57176817171333,9.544874850303108,1.6013752374835717,2.150241707000784
0,65,veh,13.564582225204058,9.640033481485698,1.602895440918453,2.1526195060664355
0,66,veh,13.567526754001708,9.742118018725344,1.6006883251908033,2.1577716957139064
0,67,veh,13.564389319491468,9.841047527643902,1.600750656712258,2.1615985798821127
0,68,veh,13.561716638526514,9.934059608830855,1.6007096872117466,2.1628382132927193
0,69,veh,13.552750015488524,10.020814504974778,1.602986623642165,2.161449946840085
0,70,veh,13.542877550150779,10.112122928707628,1.6054654473020398,2.1620653300025223
0,71,veh,13.540089303758087,10.196424312280786,1.6054138951998322,2.1595302733637087
0,72,veh,13.538672142007515,10.283374242459356,1.604843225406859,2.1581658448140226
0,73,veh,13.532819179677109,10.381863196443025,1.605736458848945,2.161948000776209
0,74,veh,13.530519249406032,10.469090025640813,1.6054680217233872,2.160662237594363
0,75,veh,13.523172750172174,10.558772716464741,1.6069841054795322,2.1605584625147505
0,76,veh,13.508782517068582,10.651579976937702,1.6109334541669418,2.1619563586438226
0,77,veh,13.504706859147168,10.743460880863807,1.611072910107644,2.162758212298741
