id,x,y,frame,label
0,111.50704193115234,311.5171813964844,1,ped
1,176.50865173339844,287.4998474121094,1,ped
2,255.43789672851562,84.51577758789062,1,ped
3,326.49993896484375,328.4934387207031,1,ped
4,481.4947814941406,288.4986877441406,1,ped
5,484.4849548339844,310.4979248046875,1,ped
6,487.48504638671875,352.4996337890625,1,ped
7,476.5070495605469,372.5067443847656,1,ped
8,576.5194702148438,131.49551391601562,1,ped
9,589.4734497070312,140.51718139648438,1,ped
10,593.4861450195312,234.4799041748047,1,ped
11,614.4904174804688,273.50994873046875,1,ped
0,109.87761688232422,311.6119079589844,2,ped
1,178.24339294433594,287.4470520019531,2,ped
2,255.38177490234375,84.53980255126953,2,ped
3,324.701416015625,328.5356750488281,2,ped
4,482.7224426269531,289.0799865722656,2,ped
5,486.1271667480469,310.6705322265625,2,ped
6,488.2366638183594,351.9588623046875,2,ped
7,478.1882629394531,372.5440673828125,2,ped
8,577.6358032226562,131.1931915283203,2,ped
9,590.8203125,140.08517456054688,2,ped
10,592.361572265625,233.46128845214844,2,ped
11,612.96435546875,273.5391540527344,2,ped
0,108.80220031738281,311.7734375,3,ped
1,179.36363220214844,287.3295593261719,3,ped
2,255.24835205078125,84.57050323486328,3,ped
3,323.30560302734375,328.3901062011719,3,ped
4,484.3755187988281,289.0295104980469,3,ped
5,487.6131286621094,311.01220703125,3,ped
6,488.776123046875,351.9646301269531,3,ped
7,479.5628967285156,372.74664306640625,3,ped
8,579.0020751953125,130.18191528320312,3,ped
9,592.520263671875,139.06964111328125,3,ped
10,590.8173828125,232.37454223632812,3,ped
11,611.7665405273438,273.48321533203125,3,ped
0,107.14295196533203,311.9612731933594,4,ped
1,180.84010314941406,287.17913818359375,4,ped
2,255.1646728515625,84.61019897460938,4,ped
3,321.24951171875,328.1788635253906,4,ped
4,485.46722412109375,289.7614440917969,4,ped
5,489.8984069824219,310.32830810546875,4,ped
6,490.013916015625,351.2925109863281,4,ped
7,481.6709289550781,372.6320495605469,4,ped
8,579.8882446289062,129.6090087890625,4,ped
9,593.499267578125,138.41676330566406,4,ped
10,589.8572998046875,231.23963928222656,4,ped
11,609.7820434570312,273.3726806640625,4,ped
0,105.11123657226562,312.0378723144531,5,ped
1,183.21258544921875,287.2494201660156,5,ped
2,255.09030151367188,84.67560577392578,5,ped
3,319.85107421875,327.462646484375,5,ped
4,487.1874694824219,290.5899353027344,5,ped
5,491.99176025390625,310.7015686035156,5,ped
6,490.1431884765625,350.3164367675781,5,ped
7,483.1869812011719,372.54876708984375,5,ped
8,581.7742309570312,129.49012756347656,5,ped
9,594.5870971679688,138.2703857421875,5,ped
10,588.532958984375,230.07888793945312,5,ped
11,608.085693359375,273.20257568359375,5,ped
0,103.50787353515625,310.9621887207031,6,ped
1,184.21188354492188,287.29296875,6,ped
2,254.97244262695312,84.7172622680664,6,ped
3,318.80206298828125,327.7443542480469,6,ped
4,488.5659484863281,290.7937316894531,6,ped
5,493.7805480957031,311.4338073730469,6,ped
6,490.9635009765625,350.09722900390625,6,ped
7,484.3885803222656,371.9598693847656,6,ped
8,583.0325927734375,128.51145935058594,6,ped
9,596.0005493164062,137.4147491455078,6,ped
10,587.0142822265625,228.7062225341797,6,ped
11,605.793212890625,272.6806335449219,6,ped
0,102.43401336669922,311.5489196777344,7,ped
1,185.8561553955078,287.715576171875,7,ped
2,255.83758544921875,84.75564575195312,7,ped
3,317.2898864746094,327.845703125,7,ped
4,490.3657531738281,291.1390686035156,7,ped
5,495.2957458496094,311.32403564453125,7,ped
