id,x_c,y_c,x_fl,y_fl,x_fr,y_fr,x_rr,y_rr,x_rl,y_rl,frame,label
0,386.2496643066406,130.488130569458,405.9771728515625,194.99172973632812,363.0302429199219,190.9553680419922,368.0007019042969,66.00788879394531,407.99053955078125,69.9975357055664,10,veh
0,386.6919250488281,133.42977333068848,406.9980163574219,198.16441345214844,362.9827575683594,193.9566650390625,368.0949401855469,68.300537109375,408.6919860839844,73.29747772216797,11,veh
0,386.8180694580078,135.53690338134766,407.07318115234375,199.55792236328125,363.7646789550781,196.33029174804688,367.82293701171875,70.99431610107422,408.6114807128906,75.26508331298828,12,veh
0,386.7769317626953,138.2609100341797,406.0159606933594,202.60122680664062,363.7253112792969,198.40444946289062,368.7787780761719,74.18096160888672,408.5876770019531,77.85700225830078,13,veh
0,386.55443501472473,140.7329704761505,406.01318359375,204.80531311035156,363.7325439453125,200.91156005859375,368.02695655822754,76.32261848449707,408.4450559616089,80.89239025115967,14,veh
0,386.0143120288849,143.21509671211243,405.79632568359375,207.5806884765625,363.4605894088745,204.06389141082764,367.27393531799316,78.62168312072754,407.5263977050781,82.59412384033203,15,veh
0,386.14717197418213,145.45701503753662,406.7264099121094,209.75796508789062,362.7528324127197,205.0126438140869,367.0645236968994,81.34144020080566,408.044921875,85.71601104736328,16,veh
0,385.71524024009705,148.01025938987732,406.03204345703125,212.91551208496094,362.73858070373535,207.8079776763916,367.0379991531372,83.52497577667236,407.0523376464844,87.79257202148438,17,veh
0,385.5781202316284,150.88997745513916,405.86456298828125,214.8929443359375,362.8907537460327,211.0636510848999,366.4095811843872,86.86506366729736,407.1475830078125,90.73825073242188,18,veh
0,385.8317356109619,153.0812473297119,406.8057861328125,217.34613037109375,362.41207695007324,212.7790355682373,367.11524391174316,89.03434944152832,406.99383544921875,93.16547393798828,19,veh
0,385.58752059936523,155.3465518951416,406.7082214355469,219.29647827148438,361.3156108856201,215.21795463562012,366.5292224884033,91.4371509552002,407.7970275878906,95.43462371826172,20,veh
0,385.47934889793396,158.01069045066833,405.90185546875,222.38914489746094,361.4280376434326,217.4521770477295,366.7654504776001,93.97530460357666,407.8220520019531,98.22613525390625,21,veh
0,385.59249925613403,160.79543733596802,405.7372131347656,225.122314453125,361.8845806121826,220.5145092010498,367.32983779907227,96.93510818481445,407.4183654785156,100.60981750488281,22,veh
0,385.2072055339813,163.37692141532898,405.88543701171875,227.0707244873047,361.7176733016968,222.95387935638428,366.1296730041504,99.85647964477539,407.0960388183594,103.62660217285156,23,veh
0,385.1782612800598,166.16070985794067,405.5154724121094,229.6201171875,361.89828300476074,226.2100658416748,366.28601455688477,102.42653274536133,407.0132751464844,106.38612365722656,24,veh
0,385.0640950202942,168.4242386817932,405.49822998046875,232.71292114257812,362.1741313934326,228.11759757995605,366.25122451782227,104.57770156860352,406.3327941894531,108.28873443603516,25,veh
0,384.8107075691223,170.8634877204895,405.2770080566406,235.4156036376953,361.18990898132324,230.17927360534668,366.42306900024414,107.1440315246582,406.35284423828125,110.71504211425781,26,veh
0,384.84803652763367,173.57320284843445,405.255859375,237.59030151367188,361.366415977478,233.42691707611084,366.3500099182129,109.4818000793457,406.41986083984375,113.79379272460938,27,veh
0,384.630827665329,176.43646121025085,404.9914245605469,240.24403381347656,361.1333837509155,236.03357601165771,365.76376724243164,112.88226699829102,406.6347351074219,116.58596801757812,28,veh
0,384.6750400066376,178.67404055595398,405.0204162597656,243.17559814453125,360.3687963485718,237.05622005462646,366.532901763916,115.18652725219727,406.7780456542969,119.27781677246094,29,veh
0,384.47568559646606,180.79074716567993,404.6211242675781,244.79464721679688,360.4004497528076,239.76212882995605,366.160587310791,117.13090896606445,406.7205810546875,121.47530364990234,30,veh
0,384.5390064716339,183.93537068367004,404.74626445770264,248.80667400360107,360.51012992858887,243.10900688171387,366.1099281311035,119.58548355102539,406.7897033691406,124.24031829833984,31,veh
0,384.39120531082153,186.21214151382446,404.4937744140625,250.45980834960938,360.95089530944824,245.1772747039795,365.64841079711914,122.47591018676758,406.47174072265625,126.7355728149414,32,veh
0,384.6321110725403,188.92998933792114,404.307373046875,253.31903076171875,361.1943645477295,247.55622673034668,366.7868995666504,124.9888801574707,406.23980712890625,129.85581970214844,33,veh
0,384.7328038215637,192.09095430374146,404.6558837890625,255.61038208007812,361.40633964538574,251.89657402038574,366.7057228088379,128.28381729125977,406.16326904296875,132.5730438232422,34,veh
0,384.4217915534973,194.76224565505981,404.7075500488281,258.5263671875,360.8247661590576,254.74036979675293,366.058048248291,130.51611709594727,406.0968017578125,135.26612854003906,35,veh
0,384.29426622390747,196.76245546340942,404.9637145996094,260.70849609375,360.736967086792,256.08617973327637,365.7823829650879,132.86030960083008,405.6940002441406,137.39483642578125,36,veh
0,384.5153114795685,199.3501274585724,405.06890869140625,263.6678161621094,361.13900089263916,258.10906314849854,366.079044342041,136.22029495239258,405.7742919921875,139.40333557128906,37,veh
0,384.0758309364319,201.93995904922485,404.34600830078125,265.9339599609375,361.06659507751465,261.4937496185303,364.8480567932129,138.1944465637207,406.04266357421875,142.13768005371094,38,veh
0,383.90878200531006,204.32920360565186,404.2181396484375,268.7236022949219,360.19808197021484,263.47032928466797,365.940372467041,140.46986770629883,405.2785339355469,144.65301513671875,39,veh
0,384.191237449646,207.32654094696045,404.5245361328125,271.1732177734375,361.15169525146484,266.88130950927734,365.83020401000977,143.54338455200195,405.2585144042969,147.708251953125,40,veh
