id,x_c,y_c,x_fl,y_fl,x_fr,y_fr,x_rr,y_rr,x_rl,y_rl,frame,label
0,688.9978485107422,145.2455997467041,642.9960327148438,176.9993896484375,635.0054321289062,139.00193786621094,734.0065307617188,114.0120620727539,743.9833984375,150.96900939941406,20,veh
0,683.6515045166016,147.3001937866211,638.5953979492188,179.72296142578125,628.8798217773438,140.6898956298828,727.9915771484375,115.34037780761719,739.1392211914062,153.44754028320312,21,veh
0,677.9783630371094,148.8592872619629,632.6542358398438,180.8741912841797,624.04443359375,142.87623596191406,723.0741577148438,117.09518432617188,732.140625,154.59153747558594,22,veh
0,671.8064696788788,150.39352297782898,626.8151245117188,182.49282836914062,617.4247436523438,144.92796325683594,716.3616333007812,118.0622787475586,726.6243772506714,156.09102153778076,23,veh
0,665.7421996593475,151.72450137138367,620.6405029296875,183.64364624023438,611.6529541015625,146.8270263671875,710.3970947265625,119.77413177490234,720.2782468795776,156.65320110321045,24,veh
0,660.0025925636292,153.3811821937561,614.7020263671875,185.3916778564453,606.1044921875,148.22889709472656,704.6336669921875,121.80027770996094,714.5701847076416,158.1038761138916,25,veh
0,654.0038743019104,154.7699761390686,608.7799072265625,186.51870727539062,599.439697265625,149.1531524658203,698.927001953125,123.64430236816406,708.8688907623291,159.7637424468994,26,veh
0,648.1198880672455,156.513845205307,602.9140625,188.5673828125,593.7564697265625,150.56356811523438,692.7755737304688,124.85123443603516,703.0334463119507,162.0731954574585,27,veh
0,642.1038358211517,157.7656877040863,597.1815795898438,190.12193298339844,588.3862915039062,152.187744140625,686.901611328125,126.70642852783203,695.9458608627319,162.04664516448975,28,veh
0,635.9680190086365,159.20605611801147,590.2534790039062,191.24803161621094,582.2706298828125,153.56890869140625,680.857421875,128.11294555664062,690.4905452728271,163.8943386077881,29,veh
0,629.8309779167175,161.13989210128784,584.1986083984375,193.15098571777344,575.9573364257812,155.5144805908203,675.06103515625,129.66542053222656,684.1069316864014,166.22868156433105,30,veh
0,623.3379139900208,162.68550539016724,577.8515291213989,194.469952583313,570.3253784179688,157.47222900390625,667.805908203125,131.4920196533203,677.3688402175903,167.3078203201294,31,veh
0,617.1353161334991,164.25254559516907,572.3590087890625,196.2900848388672,563.3104858398438,158.7406463623047,661.8663330078125,132.72157287597656,671.0054368972778,169.25787830352783,32,veh
0,611.0052754878998,166.05527091026306,565.8076782226562,197.94837951660156,557.141357421875,160.65402221679688,656.2443237304688,134.52899169921875,664.8277425765991,171.08969020843506,33,veh
0,604.7955923080444,167.60953426361084,559.814453125,199.98110961914062,551.1951293945312,162.12457275390625,649.1177978515625,136.24032592773438,659.054988861084,172.0921287536621,34,veh
0,597.973516702652,169.0568869113922,553.481201171875,201.9333038330078,544.7750854492188,163.16387939453125,642.04443359375,137.3135528564453,651.5933465957642,173.81681156158447,35,veh
0,591.7931203842163,170.99508953094482,546.405029296875,203.16009521484375,538.5718383789062,164.85244750976562,635.7634887695312,139.17755126953125,646.4321250915527,176.79026412963867,36,veh
0,585.5370016098022,172.39878368377686,540.4243774414062,203.96670532226562,532.319580078125,167.068359375,630.1832885742188,140.87001037597656,639.220760345459,177.69005966186523,37,veh
0,578.6857442855835,173.89565181732178,533.7462768554688,206.01910400390625,525.340087890625,167.74917602539062,622.711181640625,142.99844360351562,632.9454307556152,178.8158836364746,38,veh
0,572.6194448471069,175.44314098358154,527.80712890625,206.74993896484375,519.1820678710938,169.739501953125,616.7922973632812,144.62025451660156,626.6962852478027,180.66286849975586,39,veh
0,566.0025014877319,177.30717372894287,521.197265625,208.76034545898438,512.2660522460938,171.65013122558594,610.71826171875,146.214599609375,619.828426361084,182.60361862182617,40,veh
0,559.2151861190796,178.95199489593506,514.1241455078125,210.55296325683594,506.0933532714844,173.03045654296875,603.62451171875,147.666259765625,613.0187339782715,184.55830001831055,41,veh
0,552.4204092025757,180.35711193084717,507.43017578125,211.74102783203125,499.2255859375,174.12306213378906,597.1051025390625,149.62054443359375,605.9207725524902,185.9438133239746,42,veh
0,546.0964720249176,182.01198410987854,501.5760192871094,213.60836791992188,492.9494323730469,175.249267578125,589.85791015625,151.36785888671875,600.0025262832642,187.82244205474854,43,veh
0,539.380934715271,183.63652324676514,494.46307373046875,214.89686584472656,486.749755859375,177.0749053955078,583.614990234375,152.7539520263672,592.6959190368652,189.82036972045898,44,veh
0,532.7155797481537,185.19781470298767,487.86126708984375,216.42823791503906,480.0259094238281,178.2809295654297,576.6787719726562,154.93121337890625,586.2963705062866,191.15087795257568,45,veh
0,525.8520085811615,186.48147559165955,481.5450439453125,217.50535583496094,472.6357727050781,179.82904052734375,570.2567138671875,156.49462890625,578.9705038070679,192.0968770980835,46,veh
0,519.2907247543335,188.06640911102295,474.53857421875,219.0841064453125,466.81396484375,181.80419921875,562.9713134765625,157.6907196044922,572.8390464782715,193.6866111755371,47,veh
0,512.8581502437592,189.6045262813568,467.9417724609375,220.19400024414062,460.65887451171875,183.232421875,556.9877319335938,159.330078125,565.8442220687866,195.66160488128662,48,veh
0,506.06039023399353,190.9083287715912,461.25921630859375,221.4459686279297,453.654296875,184.12667846679688,550.206298828125,160.45005798339844,559.1217489242554,197.61061000823975,49,veh
0,498.95426535606384,192.41810202598572,454.3314514160156,222.75376892089844,446.7875671386719,185.385498046875,542.861328125,162.358154296875,551.8367147445679,199.17498683929443,50,veh
0,492.5954930782318,193.97779440879822,447.81134033203125,224.54617309570312,440.2604064941406,187.28366088867188,536.6448974609375,163.91390991210938,545.6653280258179,200.1674337387085,51,veh
