,id,x_c,y_c,x_fl,y_fl,x_fr,y_fr,x_rr,y_rr,x_rl,y_rl,frame,label,x_est,y_est,vx_est,vy_est
0,0,452.9917755126953,162.74632644653317,449.9895935058594,217.97694396972656,417.00225830078125,200.9864959716797,455.9924621582031,108.01560974121094,488.9827880859375,124.00625610351562,80,veh,452.9917755126953,162.74632644653317,-26.542034912110736,103.90474978637762
1,0,451.8847503662109,167.08002471923828,448.9843444824219,222.71124267578125,414.884765625,205.44894409179688,455.4511413574219,112.14825439453124,488.21875,128.01165771484378,81,veh,451.8847503662109,167.08002471923828,-26.542034912110736,103.90474978637762
2,0,450.0973153114319,170.94392824172976,446.9316711425781,226.390869140625,413.9500427246094,208.8780212402344,453.4512634277344,116.23387145996094,486.05628395080566,132.27295112609863,82,veh,450.36845059539127,171.13113588149074,-26.587438706959674,103.87340035392555
3,0,448.2142243385315,174.91951417922974,444.7970581054688,229.70242309570312,411.8997497558594,213.17367553710938,451.770263671875,120.31883239746094,484.38982582092285,136.4831256866455,83,veh,448.6130454810661,175.12707385496887,-26.747105982435453,103.79030423792405
4,0,446.5805878639221,178.83678483963013,442.519775390625,233.74041748046875,409.57269287109375,216.49755859375,450.63287353515625,124.3108139038086,483.5970096588135,140.79834938049316,84,veh,446.92632257686085,179.07027659776668,-26.972057473510315,103.63838336570369
5,0,444.5052456855774,182.83305025100708,440.08831787109375,237.57858276367188,407.3044004440308,220.4005308151245,448.6138305664063,128.30180358886722,482.0144338607788,145.05128383636475,85,veh,444.99053061309655,183.0426531685198,-27.41047414227249,103.44902365628818
6,0,441.8649959564209,186.18036460876462,436.9850463867188,241.17100524902344,404.1725158691406,223.1712188720703,446.703369140625,132.27691650390622,479.5990524291992,148.1023178100586,86,veh,442.60254346246364,186.61828178308608,-28.258962496581574,102.94523560261106
7,0,440.59047746658325,189.6989464759827,435.918701171875,244.4073638916016,402.249755859375,226.62908935546875,445.5284194946289,136.0452880859375,478.6650333404541,151.71404457092285,87,veh,440.89874303278856,190.1476105773338,-28.686371077398427,102.32316519370188
8,0,438.226336479187,193.81080150604248,433.1520690917969,248.4980773925781,400.02630615234375,230.92572021484372,443.1967945098877,139.08104133605957,476.53017616271967,156.73836708068848,88,veh,438.76924254124185,194.0331740267165,-29.559617941648334,101.96548617711667
9,0,435.7860655784607,197.53603887557983,430.0896301269531,252.31100463867188,397.2200012207031,234.14341735839844,440.9081106185913,142.92367458343506,474.9265203475952,160.76605892181396,89,veh,436.42660797396456,197.81049270016504,-30.721838338153276,101.46750847092471
10,0,433.85527181625366,201.25398015975952,427.7908935546875,255.41651916503903,395.06005859375,237.53721618652344,439.7218313217163,147.81730556488037,472.84830379486084,164.2448797225952,90,veh,434.32515964713616,201.54122031894948,-31.663200480667598,100.89205834453305
11,0,431.89375138282776,205.04091095924375,425.8373718261719,259.34353637695307,392.88873291015625,241.4713134765625,437.73800563812256,151.3776388168335,471.11089515686035,167.97115516662598,91,veh,432.2966645489037,205.29785009998696,-32.53952429197237,100.33322357305528
12,0,429.7526457309723,208.6768362522125,422.9805908203125,263.08395385742193,391.08111572265625,244.3301544189453,436.2037954330444,154.82414150238037,468.745080947876,172.46909523010254,92,veh,430.1815237003045,208.96800091541928,-33.538555663049436,99.65498254998393
13,0,427.53629899024963,212.3628180027008,421.0130615234375,266.04025268554693,388.0503234863281,248.098876953125,433.69784450531006,159.1437063217163,467.38396644592285,176.16843605041504,93,veh,427.9851792459227,212.6371156836444,-34.64607345290524,98.978210610203
14,0,425.02419233322144,215.6004672050476,417.2366943359375,269.87088012695307,385.3213806152344,250.94927978515625,432.4514760971069,162.0499563217163,465.0872182846069,179.53175258636475,94,veh,425.5685366230736,216.01874444943778,-36.05566063357806,97.89507581362116
15,0,422.74672651290894,219.6047396659851,415.2044372558594,273.9678955078125,382.7855224609375,254.70030212402344,430.02084255218506,165.70481777191162,462.9761037826538,184.04594326019287,95,veh,423.21875114132433,219.78275318503702,-37.328792348995115,97.41494269506163
16,0,420.960855960846,223.1994957923889,412.3327026367188,277.838623046875,381.10791015625,257.95870971679693,428.2792224884033,169.9881763458252,462.1235885620117,187.0124740600586,96,veh,421.21133044480484,223.43042621188133,-38.02798491143678,96.77030684553856
17,0,418.28225660324097,226.70036268234253,409.84014892578125,280.62472534179693,377.9190979003906,262.05722045898443,425.9791860580444,173.6192922592163,459.3905935287476,190.50021266937256,97,veh,418.76118820857346,226.97360061890086,-39.40427549839352,95.98511164042442
18,0,416.59319257736206,229.8391184806824,407.41046142578125,284.1755065917969,376.3564147949219,263.89178466796875,425.3019399642944,176.95350551605225,457.3039541244507,194.3356771469116,98,veh,416.77991924351045,230.24420294361167,-39.95418724852403,94.79213416937009
19,0,413.7119212150574,233.43940687179563,404.4532165527344,286.8763732910156,372.986083984375,268.30767822265625,422.2912893295288,180.84379482269287,455.1170949935913,197.72978115081787,99,veh,414.21014711580506,233.70900770263356,-41.45220284710238,93.98152546882112
20,0,411.5027918815613,236.8806872367859,401.8465270996094,290.80902099609375,370.96234130859375,270.48501586914057,420.3023977279663,184.06683254241943,452.8999013900757,202.16187953948972,100,veh,411.85016385764334,237.14629260014837,-42.515117426088246,93.16880644594833
21,0,409.3543455600738,239.88696122169492,399.5502624511719,293.765380859375,368.294921875,273.6141967773437,418.04659938812256,186.8918294906616,451.525598526001,205.2764377593994,101,veh,409.61059703579264,240.29310516130403,-43.310927519740204,91.90749294244632
