,id,x_c,y_c,x_fl,y_fl,x_fr,y_fr,x_rr,y_rr,x_rl,y_rl,frame,label,x_est,y_est,vx_est,vy_est
0,0,372.2506866455078,110.48900318145752,390.9892883300781,173.99069213867188,349.01312255859375,170.97727966308594,354.9972839355469,46.98976516723633,394.0030517578125,49.99827575683594,40,veh,372.2506866455078,110.48900318145752,6.2628958740247995,147.25913337707485
1,0,372.5119018554688,116.63094234466551,391.7114868164063,179.97976684570312,348.3922119140625,176.68333435058594,356.3227233886719,53.38815689086914,393.6211853027344,56.472511291503906,41,veh,372.5119018554688,116.63094234466551,6.2628958740247995,147.25913337707485
2,0,372.2449798583984,121.9689588546753,390.4510498046875,185.5880584716797,348.40435791015625,182.3445281982422,355.57147216796875,58.24842834472656,394.55303955078125,61.69482040405274,42,veh,372.45543627570265,122.28931250355534,6.227653245856364,147.20548756919453
3,0,371.84044647216797,127.0879430770874,389.4987182617188,190.6244659423828,347.577880859375,187.0004119873047,355.723876953125,63.31698226928711,394.5613098144531,67.409912109375,43,veh,372.17418835040024,127.59960836956475,6.094040328369436,147.00064335585574
4,0,371.3352584838867,131.99772453308105,388.9401550292969,195.91217041015625,346.50042724609375,191.38743591308597,355.7869873046875,68.33141326904297,394.1134643554688,72.35987854003906,44,veh,371.7474429927541,132.65121591017913,5.825853431313174,146.57545070327757
5,0,370.6801223754883,137.69452667236328,387.9747009277344,201.6224670410156,346.24005126953125,197.55621337890625,355.3575439453125,73.90596008300781,393.148193359375,77.69346618652344,45,veh,371.170720731966,138.09519272442833,5.382636498434756,146.21348051654533
6,0,370.0174026489258,142.96889305114746,387.1930236816406,206.4346466064453,345.0326232910156,202.57318115234372,354.5747985839844,79.51810455322266,393.2691650390625,83.34963989257812,46,veh,370.5300460589382,143.42453822860534,4.792881994833216,145.68929783868037
7,0,369.3667221069336,147.79776573181152,385.7406311035156,210.9543914794922,343.899169921875,207.5796813964844,354.77813720703125,84.33267211914062,393.0489501953125,88.3243179321289,47,veh,369.87094649220563,148.42775115663835,4.093777545460971,144.81582637161029
8,0,369.02393341064453,152.87677383422854,385.4012145996094,216.6616516113281,343.77447509765625,212.42872619628903,354.81097412109375,89.06725311279297,392.1090698242188,93.3494644165039,48,veh,369.3983017421688,153.46200516451503,3.4916181767835743,143.87450068057046
9,0,368.49723052978516,157.6599082946777,384.5132141113281,220.921875,342.78521728515625,216.99485778808597,354.49151611328125,93.9740753173828,392.198974609375,98.7488250732422,49,veh,368.88028422185874,158.31969125160066,2.796593433676198,142.67736960043482
10,0,367.5914993286133,163.36944007873538,382.8312377929688,226.9064483642578,341.5234375,222.1588134765625,353.615966796875,99.72160339355469,392.3953552246094,104.6908950805664,50,veh,368.1034403025462,163.69767226059093,1.7709830211714603,142.01979702747968
11,0,366.87281799316406,168.09354972839355,381.7017517089844,231.6758728027344,340.1370849609375,226.45166015625,353.5935974121094,104.48735809326172,392.058837890625,109.75930786132812,51,veh,367.3459912891628,168.6476295122189,0.7418455765066521,140.8146904466806
12,0,365.91011810302734,172.54742813110352,380.4468078613281,236.1976623535156,338.2680358886719,230.5805511474609,353.633056640625,108.64265441894531,391.2925720214844,114.7688446044922,52,veh,366.4401643198635,173.2605166314503,-0.49284782489264,139.15361705718033
13,0,365.35352325439453,177.44723320007324,379.47503662109375,240.3600006103516,337.28961181640625,235.71157836914062,353.57611083984375,113.89356994628906,391.0733337402344,119.82378387451172,53,veh,365.7374689740643,178.0296440871335,-1.4401532799647643,137.71664046871854
14,0,364.3089904785156,182.67996788024902,377.9054565429688,245.58767700195312,336.1414794921875,240.86712646484372,352.5344543457031,119.06842041015624,390.6545715332031,125.19664764404295,54,veh,364.80035535542044,183.07265900301869,-2.712549527027448,136.69976129327898
15,0,363.7748260498047,186.7558307647705,377.804931640625,249.66375732421875,334.1728515625,244.89112854003903,352.3525085449219,122.87023162841795,390.7690124511719,129.59820556640622,55,veh,364.10159108218795,187.47868488079072,-3.5938910951845657,134.75009925167214
16,0,362.7088851928711,191.8425941467285,375.8778076171875,254.49745178222656,333.05889892578125,249.7502593994141,351.6886291503906,128.44891357421878,390.210205078125,134.67375183105472,56,veh,363.1529719279195,192.29150043226363,-4.833546876952413,133.49698982863364
17,0,361.3550643920898,196.43858337402344,373.86944580078125,259.48928833007807,331.2913818359375,253.6689300537109,351.30621337890625,132.78181457519528,388.9532165527344,139.81430053710938,57,veh,361.9243339654483,196.94528511906083,-6.469438821711898,132.04089707065975
18,0,360.5181884765625,201.1239776611328,372.78619384765625,263.63897705078125,330.086669921875,258.55563354492193,350.1629943847656,137.45820617675778,389.0368957519531,144.8430938720703,58,veh,360.92272132397017,201.59693553212526,-7.660791779979013,130.6480317882647
19,0,358.7435989379883,205.77682876586914,370.5446166992188,268.61575317382807,328.0696716308594,262.5731811523437,349.256591796875,142.0857391357422,387.103515625,149.8326416015625,59,veh,359.40464331719414,206.22800743883616,-9.648353626757476,129.29147306894438
20,0,357.5071563720703,210.37744522094727,367.9759826660156,273.8461303710937,326.197509765625,266.38851928710943,349.2019958496094,146.11314392089844,386.65313720703125,155.1619873046875,60,veh,358.0379394529274,210.81877322276736,-11.27248312990634,127.9410648623295
21,0,356.4391860961914,214.60614395141602,367.0670166015625,278.12796020507807,324.3026123046875,270.48361206054693,347.9697265625,150.8112335205078,386.4173889160156,159.00177001953125,61,veh,356.8394237989223,215.15541509734302,-12.515454327632481,126.23525801437172
