,id,x,y,frame,label,x_est,y_est,vx_est,vy_est
0,0,281.5033874511719,64.50930786132811,1,ped,281.5033874511719,64.50930786132811,-1.600936523436137,39.7662242431644
1,1,298.4769592285156,69.515869140625,1,ped,298.4769592285156,69.515869140625,-1.6982512207031248,46.91117175292968
2,2,311.4895935058594,77.48651123046875,1,ped,311.4895935058594,77.48651123046875,2.49213427734375,49.707871765136716
3,3,329.4533996582031,93.51818084716795,1,ped,329.4533996582031,93.51818084716795,0.7609570312499999,42.886696838379244
4,4,308.4952697753906,110.49076080322266,1,ped,308.4952697753906,110.49076080322266,-4.40330712890625,38.682958007812495
5,5,294.5168151855469,102.51750183105469,1,ped,294.5168151855469,102.51750183105469,-1.5797175292968748,41.7686753540039
6,6,277.50436401367193,106.499267578125,1,ped,277.50436401367193,106.499267578125,1.235823486326762,31.895257873535154
7,7,265.5224609375,111.50493621826172,1,ped,265.5224609375,111.50493621826172,-0.38121020507676207,37.99004809570312
8,8,255.50729370117188,82.49516296386719,1,ped,255.50729370117188,82.49516296386719,-1.8881246337890623,31.47782904052734
9,9,294.49310302734375,169.49032592773438,1,ped,294.49310302734375,169.49032592773438,-0.8626618652343749,38.980389770507806
10,10,306.50604248046875,216.46923828125,1,ped,306.50604248046875,216.46923828125,-1.7202019042968748,47.34689282226562
11,11,266.50576782226557,248.5166473388672,1,ped,266.50576782226557,248.5166473388672,-10.109021484374999,38.99392602539062
12,12,280.49722290039057,245.5025329589844,1,ped,280.49722290039057,245.5025329589844,-11.865807861326761,41.67154357910088
13,13,348.49420166015625,286.507568359375,1,ped,348.49420166015625,286.507568359375,-0.447062255859375,45.93400048828125
14,14,315.4920959472656,336.4996643066406,1,ped,315.4920959472656,336.4996643066406,2.66773974609375,50.65486083984374
15,15,282.4898376464844,325.5095520019531,1,ped,282.4898376464844,325.5095520019531,-0.9233920898437499,34.77427294921875
16,16,243.49005126953125,314.5136413574219,1,ped,243.49005126953125,314.5136413574219,-3.8918562011711932,47.61176440429687
17,17,235.494873046875,359.49420166015625,1,ped,235.494873046875,359.49420166015625,-2.235311279296875,44.84231982421875
18,18,285.48406982421875,392.5128784179688,1,ped,285.48406982421875,392.5128784179688,-2.4423793945312497,45.30474755859238
19,19,347.4914855957031,377.4958801269531,1,ped,347.4914855957031,377.4958801269531,-9.123435791015623,44.627203124999994
20,20,223.5066375732422,387.5043640136719,1,ped,223.5066375732422,387.5043640136719,-5.3640153808593745,50.60656933593749
21,21,214.499755859375,422.4770202636719,1,ped,214.499755859375,422.4770202636719,-14.428550170899118,49.75927294921875
22,22,243.5196685791016,438.4938659667969,1,ped,243.5196685791016,438.4938659667969,1.2299699707024434,43.207725585937496
23,23,255.4989471435547,443.4957275390625,1,ped,255.4989471435547,443.4957275390625,-2.2740908203125,38.58417993164062
24,24,273.4686279296875,439.4896240234375,1,ped,273.4686279296875,439.4896240234375,-13.21723828125,44.000876953124994
25,25,284.4885559082031,445.4822998046875,1,ped,284.4885559082031,445.4822998046875,-12.647983886718748,43.89478198242187
26,26,337.5057067871094,474.4934387207031,1,ped,337.5057067871094,474.4934387207031,-3.9006364746093745,44.61110595703125
27,27,350.48773193359375,475.4893493652344,1,ped,350.48773193359375,475.4893493652344,-0.27511523437499996,38.76710229492187
28,28,367.4844665527344,434.5262451171875,1,ped,367.4844665527344,434.5262451171875,-0.230482177734375,42.29750390624999
29,29,384.4576721191406,437.47784423828125,1,ped,384.4576721191406,437.47784423828125,-2.8952951660156248,53.028461425781245
30,30,151.49462890625,481.4934387207031,1,ped,151.49462890625,481.4934387207031,2.8254188232421873,39.312942626953124
31,31,165.5000762939453,484.5152893066406,1,ped,165.5000762939453,484.5152893066406,-1.8120289306640622,41.53142504882812
32,32,223.498779296875,493.5176696777344,1,ped,223.498779296875,493.5176696777344,-2.8009072265625,47.92200073242187
33,33,275.4765014648437,539.5152587890625,1,ped,275.4765014648437,539.5152587890625,-1.522645751953125,49.0202666015625
34,34,111.49050903320312,525.50146484375,1,ped,111.49050903320312,525.50146484375,-9.249103454590184,50.33145410156249
35,0,281.43661499023443,66.16789245605469,2,ped,281.43661499023443,66.16789245605469,-1.600936523436137,39.7662242431644
36,1,298.4061279296875,71.47245788574219,2,ped,298.4061279296875,71.47245788574219,-1.6982512207031248,46.91117175292968
37,2,311.5935363769531,79.55974578857422,2,ped,311.5935363769531,79.55974578857422,2.49213427734375,49.707871765136716
38,3,329.4851379394531,95.30691528320312,2,ped,329.4851379394531,95.30691528320312,0.7609570312499999,42.886696838379244
39,4,308.3116149902344,112.10416412353516,2,ped,308.3116149902344,112.10416412353516,-4.40330712890625,38.682958007812495
40,5,294.450927734375,104.25960540771484,2,ped,294.450927734375,104.25960540771484,-1.5797175292968748,41.7686753540039
41,6,277.555908203125,107.8295669555664,2,ped,277.555908203125,107.8295669555664,1.235823486326762,31.895257873535154
42,7,265.50656127929693,113.08943939208984,2,ped,265.50656127929693,113.08943939208984,-0.38121020507676207,37.99004809570312
43,8,255.4285430908203,83.80805206298828,2,ped,255.4285430908203,83.80805206298828,-1.8881246337890623,31.47782904052734
44,9,294.4571228027344,171.1161346435547,2,ped,294.4571228027344,171.1161346435547,-0.8626618652343749,38.980389770507806
45,10,306.4342956542969,218.44400024414062,2,ped,306.4342956542969,218.44400024414062,-1.7202019042968748,47.34689282226562
46,11,266.08413696289057,250.1430206298828,2,ped,266.08413696289057,250.1430206298828,-10.109021484374999,38.99392602539062
47,12,280.0023193359375,247.24058532714844,2,ped,280.0023193359375,247.24058532714844,-11.865807861326761,41.67154357910088
48,13,348.4755554199219,288.42340087890625,2,ped,348.4755554199219,288.42340087890625,-0.447062255859375,45.93400048828125
49,14,315.6033630371094,338.6123962402344,2,ped,315.6033630371094,338.6123962402344,2.66773974609375,50.65486083984374
50,15,282.4513244628906,326.9599304199219,2,ped,282.4513244628906,326.9599304199219,-0.9233920898437499,34.77427294921875
51,16,243.3277282714844,316.49945068359375,2,ped,243.3277282714844,316.49945068359375,-3.8918562011711932,47.61176440429687
52,17,235.40164184570312,361.364501953125,2,ped,235.40164184570312,361.364501953125,-2.235311279296875,44.84231982421875
53,18,285.3822021484375,394.4024658203125,2,ped,285.3822021484375,394.4024658203125,-2.4423793945312497,45.30474755859238
54,19,347.1109619140625,379.3572082519531,2,ped,347.1109619140625,379.3572082519531,-9.123435791015623,44.627203124999994
55,20,223.2829132080078,389.6150817871094,2,ped,223.2829132080078,389.6150817871094,-5.3640153808593745,50.60656933593749
56,21,213.89796447753903,424.5523986816406,2,ped,213.89796447753903,424.5523986816406,-14.428550170899118,49.75927294921875
57,22,243.5709686279297,440.2959899902344,2,ped,243.5709686279297,440.2959899902344,1.2299699707024434,43.207725585937496
58,23,255.4040985107422,445.1050109863281,2,ped,255.4040985107422,445.1050109863281,-2.2740908203125,38.58417993164062
59,24,272.9173583984375,441.3248291015625,2,ped,272.9173583984375,441.3248291015625,-13.21723828125,44.000876953124994
60,25,283.9610290527344,447.3130798339844,2,ped,283.9610290527344,447.3130798339844,-12.647983886718748,43.89478198242187
61,26,337.343017578125,476.3540954589844,2,ped,337.343017578125,476.3540954589844,-3.9006364746093745,44.61110595703125
62,27,350.47625732421875,477.10626220703125,2,ped,350.47625732421875,477.10626220703125,-0.27511523437499996,38.76710229492187
63,28,367.474853515625,436.2904052734375,2,ped,367.474853515625,436.2904052734375,-0.230482177734375,42.29750390624999
64,29,384.3369140625,439.6895751953125,2,ped,384.3369140625,439.6895751953125,-2.8952951660156248,53.028461425781245
